display_name,part,n_parts,page,segments,file,n_points,n_drawn,n_inlets,n_sags,n_served,n_unserved,length_m,kb
Isabel Avenue,1,2,Isabel Avenue 1 of 2,7934 7936 7951 7963 7965 7966 7973 7984 8420 8454 7980 7981 7982 7994,Isabel_Avenue_1_of_2.html,44879,44879,234,7,4,3,6718.6,2107.4
Isabel Avenue,2,2,Isabel Avenue 2 of 2,7933 7935 7952 7961 7962 7976 7977 7983 8419,Isabel_Avenue_2_of_2.html,39637,39637,195,8,6,2,5934.8,1896.3
Bernal Avenue,1,3,Bernal Avenue 1 of 3,2518 2534 2536 2634 2648 2670 2691 2740 3392 3408 3516 4030 4206 4279 5594 5683 5689 5706 5739 7218 7281 7303 7322 7310 7325 7343 2060 2544 2557 4326 4444 7263 7270,Bernal_Avenue_1_of_3.html,41466,41466,165,11,7,4,6460.2,1977.4
Stoneridge Drive,1,2,Stoneridge Drive 1 of 2,554 717 729 1186 1188 1281 1428 1471 1611 1652 1795 1971 2267 2351 2359 2368 2482 2794 2802 3055 3161 3171 3307 3593 3615 3720 3826 3834 3968 3975 4518 4583 4995 5054 5083 5160 5432 5471 5522 5887 5958 6233 6235 6447 6465 6472 6475 6736 7063,Stoneridge_Drive_1_of_2.html,52899,52899,157,26,21,5,7942.2,2482.1
Stoneridge Drive,2,2,Stoneridge Drive 2 of 2,546 565 720 728 1187 1276 1311 1462 1496 1610 1794 1981 2268 2344 2360 2479 2795 2803 3056 3162 3172 3308 3592 3617 3721 3835 3851 3979 3983 4590 4996 5091 5433 5465 5472 5520 5874 5999 6234 6446 6467 6473 6474 6735 7062,Stoneridge_Drive_2_of_2.html,52861,52861,156,26,21,5,7937.4,2501.7
Bernal Avenue,2,3,Bernal Avenue 2 of 3,2517 2533 2535 2647 2668 2690 3524 4204 4280 5590 5679 5690 5738 5851 7219 7282 7300 7302 7321 7309 7324 7344 4415 7330 7331 7348,Bernal_Avenue_2_of_3.html,37644,37644,147,13,8,5,5976.3,1760.9
Foothill Road,1,4,Foothill Road 1 of 4,2029 2030 2041 2042 2050 2078 2104 2112 2531 2582 2584 2586 2593 2615 2710 2725 3470 3479 3490 4094 4105 4116 4120 4125 4131 4133 4137 5792 541 718 724 730 736 851 853 855 858 865 871 912 562 1481 1482 1489 1635 1662 1251 1439 1451 1234 1237 1240 1244 1247 1678,Foothill_Road_1_of_4.html,95800,95800,131,32,14,18,14353.2,4212.0
West Las Positas Boulevard,1,2,West Las Positas Boulevard 1 of 2,1827 2123 2292 2301 2308 2331 2504 2784 3103 3151 3625 3716 3828 3972 3976 4497 4522 4588 4597 4601 4977 5057 5067 5171 5427 5454 5510 5524 5872 5891 5893 5970 5975 5986 6738 7057 7079 7089 7147 7158 6677 6678 6679 6729 6775 6781 1217 1295 1450,West_Las_Positas_Boulevard_1_of_2.html,44857,44857,120,22,18,4,6731.2,2131.0
West Las Positas Boulevard,2,2,West Las Positas Boulevard 2 of 2,1826 2124 2294 2309 2332 2484 2785 3169 3325 3591 3827 3969 3980 4498 4523 4526 4589 4596 4976 5056 5070 5172 5428 5444 5445 5453 5511 5523 5879 5896 5971 5976 5985 6737 7056 7078 7090 7148 7157 1299 1449,West_Las_Positas_Boulevard_2_of_2.html,37461,37461,101,14,13,1,6105.7,1779.3
Valley Avenue,2,10,Valley Avenue 2 of 10,2645 2646 2653 2656 2665 3086 3098 3107 3109 3123 3136 3419 3572 3808 3817 3994 4544 4557 4562 4568 5006 5030 5106 5149 5488 5561 5855 6697 6711 7108 7122 7182 3426 3386 3461,Valley_Avenue_2_of_10.html,42773,42773,92,14,12,2,10095.6,1920.3
Owens Drive,1,2,Owens Drive 1 of 2,2159 2215 2254 2377 2380 2420 2816 2915 3245 3705 3736 3739 3750 3753 3840 3963 3973 5876 5878 1928,Owens_Drive_1_of_2.html,22472,22472,92,11,11,0,3371.5,1145.3
Johnson Drive,1,1,Johnson Drive,1156 1214 1215 1312 1970 2156 2157 2160 2170,Johnson_Drive.html,25761,25761,91,13,12,1,3863.4,1193.5
Valley Avenue,1,10,Valley Avenue 1 of 10,2644 2649 2650 2651 2654 2662 2666 2780 3087 3099 3108 3110 3113 3137 3573 3807 5150 5497 5557 5559 5854 5946 4546 4549 5005 5031 5115 6694 6710 7109 7112 7125 7181 3436 3387 3460,Valley_Avenue_1_of_10.html,43106,43106,88,12,11,1,10176.3,1932.0
Vineyard Avenue,1,2,Vineyard Avenue 1 of 2,7640 7644 7665 7716 7748 7757 7798 7931 7937 7957 6256 6257 6301 6302 6336 6337 6351 6352 6411 6412 6442 6443 7352 7353 7400 7409 7410 7419 7420 7649 7650,Vineyard_Avenue_1_of_2.html,41813,41813,88,10,9,1,6279.5,1845.6
Hansen Road,1,4,Hansen Road 1 of 4,8908 8910 8913 8917 8919 8921 9162 9168 9171 9174 9195 9172 9176 8893 8894,Hansen_Road_1_of_4.html,12966,12966,85,2,2,0,2006.9,610.5
Santa Rita Road,2,4,Santa Rita Road 2 of 4,5152 5176 5192 5193 5194 5424 5435 5459 5460 5464 5466 5473 5496 5501 5545 5550 5552 5554 5560 5562 5114 5135 5138 5140 5148 4169 4170 4171 4178,Santa_Rita_Road_2_of_4.html,29165,29165,79,11,8,3,4364.7,1374.4
Santa Rita Road,1,4,Santa Rita Road 1 of 4,5175 5188 5189 5190 5191 5423 5457 5463 5468 5470 5474 5495 5499 5500 5502 5551 5553 5965 5972 5973 5974 5977 5141 5142 5144 5151 5544 5558 4173 4176 4179 4180 5110 5112 5139,Santa_Rita_Road_1_of_4.html,29845,29845,79,12,9,3,4676.7,1419.8
Gibraltar Drive,1,5,Gibraltar Drive 1 of 5,2346 2364 2480 2792 2810 3038 3048 3626 3165 3312 3315 3618 3624 3630 3149 3153 3332 3170 3305 3627 3066,Gibraltar_Drive_1_of_5.html,15204,15204,73,11,11,0,2454.5,726.7
West Ruby Hill Drive,1,1,West Ruby Hill Drive,7795 7797 7800 7801 7802 7805 7809 7833 7840 7844 7846 7847 7857 7880 7902 7911 7916,West_Ruby_Hill_Drive.html,28372,28372,68,1,0,1,4253.4,1292.2
Stoneridge Mall Road,1,2,Stoneridge Mall Road 1 of 2,708 1618 1619 572 545 709 721 738 877 875 876 1637 1643 1653,Stoneridge_Mall_Road_1_of_2.html,16417,16417,66,5,5,0,2460.7,782.4
